trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2062,False,"{'a': 0.002, 'e': 0.016212057880446332}",20,6,23.764284255357165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2063,False,"{'a': 0.002, 'e': 0.01617966616719593}",25,0,37.77898809334356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2064,False,"{'a': 0.002, 'e': 0.016147339172631756}",20,16,6.485266444344558,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2065,False,"{'a': 0.002, 'e': 0.016115076767445814}",30,16,29.26226332472942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2066,False,"{'a': 0.002, 'e': 0.016082878822588433}",25,9,28.29091265902959,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2067,False,"{'a': 0.002, 'e': 0.016050745209267785}",20,8,19.782874516890153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2068,False,"{'a': 0.002, 'e': 0.016018675798949358}",25,7,30.83921450789486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2069,False,"{'a': 0.002, 'e': 0.0159866704633555}",25,15,15.772875761633534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2070,False,"{'a': 0.002, 'e': 0.015954729074464814}",25,12,21.950575634463096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2071,False,"{'a': 0.002, 'e': 0.015922851504511698}",30,16,25.228696351041755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2072,False,"{'a': 0.002, 'e': 0.015891037625985815}",25,10,22.024971451354418,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2073,False,"{'a': 0.002, 'e': 0.015859287311631637}",20,8,22.167888803105082,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2074,False,"{'a': 0.002, 'e': 0.015827600434447853}",20,13,15.286273449276015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2075,False,"{'a': 0.002, 'e': 0.01579597686768691}",35,27,13.045364259251038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2076,False,"{'a': 0.002, 'e': 0.015764416484854486}",20,14,13.640561345003373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2077,False,"{'a': 0.002, 'e': 0.015732919159709032}",20,0,30.317778227245405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2078,False,"{'a': 0.002, 'e': 0.015701484766261195}",25,11,26.939819756594826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2079,False,"{'a': 0.002, 'e': 0.01567011317877336}",25,0,38.7543435756333,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2080,False,"{'a': 0.002, 'e': 0.015638804271759118}",20,8,21.16289072480231,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2081,False,"{'a': 0.002, 'e': 0.01560755791998283}",20,4,29.39678877207004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2082,False,"{'a': 0.002, 'e': 0.015576373998459032}",25,18,12.0982679479793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2083,False,"{'a': 0.002, 'e': 0.015545252382451996}",20,11,13.6134448464613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2084,False,"{'a': 0.002, 'e': 0.015514192947475202}",20,6,25.336321538307548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
