trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.02, 'e': 0.4231620823177488}",30,0,-55.45502820426,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.02, 'e': 0.4147829116815814}",25,0,-25.68352692351712,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,8,16.605680351385118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.02, 'e': 0.39851904108451414}",30,12,-6.090851403948642,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.3906278353585211}",25,0,-24.015099502342643,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,0,-19.578791136087037,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.02, 'e': 0.37531109885139957}",25,10,24.259294404860526,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,0,19.00522018898268,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.02, 'e': 0.3605949401730783}",35,0,-47.68079066622198,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.02, 'e': 0.35345468195878016}",25,0,3.761349571607089,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.3464558103300574}",20,0,-110.92825678741691,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,0,-90.2081944664995,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,0,-9.711279672623517,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,0,-18.331074942469783,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,0,-38.97188759821357,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,0,18.70843251524333,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.02, 'e': 0.30727873860113125}",30,22,-6.7486869988286955,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,0,0.4879857580938807,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.02, 'e': 0.2952301669240142}",25,0,-19.493016488878215,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.02, 'e': 0.2893842179390506}",30,5,-15.790185681532693,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.02, 'e': 0.2836540264997704}",35,18,17.748547254946438,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.27803730045319414}",35,12,-32.57635976816285,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.02, 'e': 0.2725317930340126}",20,0,-77.04579790937093,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.02, 'e': 0.26713530196585034}",25,0,-37.43263008841751,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.02, 'e': 0.261845668580326}",30,0,-99.01204792081153,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
69,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,10,-25.415192592812293,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.02, 'e': 0.25157855305975646}",20,10,8.03273817697909,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.24659696394160643}",25,0,11.890243896320694,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.02, 'e': 0.24171401689703645}",25,12,-11.917248892816827,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23692775868212176}",20,0,-106.98010873330597,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
74,False,"{'a': 0.02, 'e': 0.23223627472975883}",30,0,-55.18909653510449,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
75,False,"{'a': 0.02, 'e': 0.22763768838381274}",20,9,16.398562335365273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.22313016014842982}",25,11,-11.963521724540737,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21871188695221475}",25,16,7.596517369364028,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.21438110142697794}",20,0,-53.557562625569716,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.02, 'e': 0.21013607120076472}",30,12,-0.49741798450405983,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.20597509820488344}",25,19,11.005195098787675,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.20189651799465538}",25,11,19.828793651978255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19789869908361465}",20,12,-10.607233449296016,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,0,10.200453889715114,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.02, 'e': 0.1901389801015205}",25,15,1.7071925847185172,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18637397603940997}",30,16,-24.506634886483145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.02, 'e': 0.18268352405273466}",35,0,-64.23721709013836,"{0: 30, 1: 1, 2: 1, 3: 2, 4: 1}",0
87,False,"{'a': 0.02, 'e': 0.17906614791149322}",25,9,-27.385846584412118,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.02, 'e': 0.17552040061699686}",25,11,12.839473091195634,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.02, 'e': 0.17204486382305054}",25,0,-68.10451013546836,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
90,False,"{'a': 0.02, 'e': 0.1686381472685955}",25,3,-65.62720634755235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
